id,name,mode,Lat,Long
31kgIoE71EChAKgXAHSg6g,"Mulago, Kukisawe Stage",ShareTaxi,0.34494,32.57694
191-g0MGcU2DF6gXAHSfCQ,"Kyebando, Kyebando Ring Road",ShareTaxi,0.3527,32.58727
xltGVeWHKESzhqgXAHSg5Q,Jamaica Hair Saloon,ShareTaxi,0.34336,32.57678
lFTEFONB-0CFsKgXAHSeNw,"Kobil Petrol Station, Corner Old Kira Road and Kira Road",ShareTaxi,0.34204,32.58935
xU2rd9_ZZE2GrqgHAOxTSg,Kamokya Stage,ShareTaxi,0.34232,32.58958
4rqNXkNbdkSlTqgHAOxXrg,Kamokya Stage,ShareTaxi,0.34167,32.58913
SmjSVRQNmECVb6gHAOxVhQ,Gapco Petrol Station,ShareTaxi,0.33926,32.58638
x1uPaxlzhEeld6gHAOxTQQ,Kayunga Stage,ShareTaxi,0.33884,32.58574
wTCvFgpfe0WFo6gHAOxXsw,City Oil Petrol Station,ShareTaxi,0.33816,32.58525
bne7Ob2PVUiksagHAOxXuA,Uganda National Museum,ShareTaxi,0.33675,32.58186
-Zenlsczykef-KgXAHShbQ,Kalerwe Taxi Park,ShareTaxi,0.35278,32.57261
UwFW_AUnKE-S-6gXAHSfLQ,Kalerwe Taxi Park,ShareTaxi,0.35226,32.5719
aokRuC2ge0Sg0agXAHShkA,"Kalerwe, Kalerwe Stage",ShareTaxi,0.35421,32.57244
tVFiwddEX0WQiqgHAOxTWQ,"Bus Bay, Kira Road Police Station",ShareTaxi,0.34316,32.59404
YM6JawrJqU-ojagHAOxVbw,"Kira Road, Police Station",ShareTaxi,0.34295,32.59434
0YwYWZ5gJEavTKgHAOxS0g,Mulago Stage,ShareTaxi,0.33538,32.57777
2q9Sz2ZfR0GFhKgHAOxXqg,Total Bukoto Service Station,ShareTaxi,0.34546,32.59689
-i0yU4I7hU2rBagHAOxTYg,Furniture City,ShareTaxi,0.3482,32.59839
VGqifR7gQUWoWagHAOxVUw,Furniture City,ShareTaxi,0.34824,32.59861
FXlPMzjTC0W93agHAOxVkQ,"Ministry of Health, Corner Nakasero Hill Road and Makerere Hill Road",ShareTaxi,0.33229,32.57615
jGuxc_SSa0-OwqgHAOxTZw,Corner Bukoto Kisasi Road and Kira Road,ShareTaxi,0.34861,32.59906
cehWlg7G1EC4n6gHAOxTcA,Kabira Country Club,ShareTaxi,0.34897,32.59963
Xxu7RAu8_EmUR6gHAOxVSA,"Bus Bay, Kabira",ShareTaxi,0.34914,32.59996
DAsgXyorSU2e9agHAOxSyQ,Wandengeya Stage,ShareTaxi,0.33102,32.57461
f_320UbLY0OlgqgXAHSdXA,Kamwokya-Ntinda Stage,ShareTaxi,0.33103,32.5744
UWWni6Wxxkm6_6gXAHSfog,Bwaise Roundabout,ShareTaxi,0.35047,32.56288
dTEHuwsiKkK8nagHAOxaJA,Kenjoy Supermarket,ShareTaxi,0.34984,32.60246
0hbjH80m2U2wi6gHAOxVqQ,Young Man Christian Association,ShareTaxi,0.32874,32.57464
uWX-b6zza0avZKgXAHSgxA,"Bethesda Medical Centre, Makerere Hill Road",ShareTaxi,0.32915,32.57212
fPB-dHzLqU-I46gXAHSgrQ,"Margies Stationary Shop, Nanfumambi Road",ShareTaxi,0.34494,32.56111
vA93M76V9ESr_6gXAHSgpA,Makerere University Taxi Stage,ShareTaxi,0.32869,32.57124
21sXzqZohUmlNagXAHSgqA,"Canan Land Stage, Nanfubambi Road",ShareTaxi,0.34399,32.56069
FMARo6fkQ0qeYKgHAOxXpQ,Corner Upper Naguru E Road and Kira Road,ShareTaxi,0.35023,32.60499
3R4lMsH7yUeNo6gXAHSgjA,"Grand Global Stage, Sir Apollo Kaggwa Road",ShareTaxi,0.33235,32.56427
ZNqJTii43kaRqqgHAOxaKQ,Hilside Plaza Hotel,ShareTaxi,0.35182,32.60652
