id,href,agency/id,agency/href,agency/name,agency/culture,name,geometry/type,geometry/coordinates/0,geometry/coordinates/1,modes/0
GCpUAcfpSUmOXKgHAOxV-A,https://platform.whereismytransport.com/api/stops/GCpUAcfpSUmOXKgHAOxV-A,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,"African Child, Kinawataka Road Stop",Point,32.62814,0.33408,ShareTaxi
OzeptyUqgU-UH6gXAHShLA,https://platform.whereismytransport.com/api/stops/OzeptyUqgU-UH6gXAHShLA,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,Banda Stage,Point,32.63608,0.34237,ShareTaxi
DQ3NlSt1kUuGnagHAOxWSA,https://platform.whereismytransport.com/api/stops/DQ3NlSt1kUuGnagHAOxWSA,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Banda Stage,Point,32.63581,0.34222,ShareTaxi
Ae7xlznggUOZwKgXAHSgaA,https://platform.whereismytransport.com/api/stops/Ae7xlznggUOZwKgXAHSgaA,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,Bbuto Stage,Point,32.67552,0.3724,ShareTaxi
uWX-b6zza0avZKgXAHSgxA,https://platform.whereismytransport.com/api/stops/uWX-b6zza0avZKgXAHSgxA,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,"Bethesda Medical Centre, Makerere Hill Road",Point,32.57212,0.32915,ShareTaxi
9gL5ty0CfEutrqgXAHSgSg,https://platform.whereismytransport.com/api/stops/9gL5ty0CfEutrqgXAHSgSg,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,"Birigomututu House, Gogonya Road",Point,32.59691,0.28632,ShareTaxi
_VbrL2Wl4kWG36gXAHSgEg,https://platform.whereismytransport.com/api/stops/_VbrL2Wl4kWG36gXAHSgEg,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,Bugembe Stage,Point,33.21349,0.43285,ShareTaxi
TOM7_TeWKkuLaqgHAOxR9A,https://platform.whereismytransport.com/api/stops/TOM7_TeWKkuLaqgHAOxR9A,fzyQmSswUEetlagHAOxM4Q,https://platform.whereismytransport.com/api/agencies/fzyQmSswUEetlagHAOxM4Q,Pioneer Easy Bus,en,Bugolobi Stage,Point,32.62298,0.31915,ShareTaxi
Jlwi_XmyhEeOjagXAHSf0Q,https://platform.whereismytransport.com/api/stops/Jlwi_XmyhEeOjagXAHSf0Q,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,Bujuko Taxi Park,Point,32.37512,0.33209,ShareTaxi
LO8YHZDd-ESPpqgXAHSg_Q,https://platform.whereismytransport.com/api/stops/LO8YHZDd-ESPpqgXAHSg_Q,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,Bukasa Muyenga,Point,32.63128,0.2895,ShareTaxi
42C5B1Je60yKOKgXAHSgdQ,https://platform.whereismytransport.com/api/stops/42C5B1Je60yKOKgXAHSgdQ,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,Bukasa Stage,Point,32.62768,0.28874,ShareTaxi
XRkNJuvEL0WUBqgXAHSfjw,https://platform.whereismytransport.com/api/stops/XRkNJuvEL0WUBqgXAHSfjw,Gmpaqr87U062FqgXAHR9CA,https://platform.whereismytransport.com/api/agencies/Gmpaqr87U062FqgXAHR9CA,Kampala Taxis,en,Bunamwaya Taxi Park,Point,32.54633,0.26434,ShareTaxi
